,,Density,Hardness,Tensile Strength Ultimate,Yield Strength,Modulus of Elasticity,Poissons Ratio,%Elongation at Break,Thermal Conductivity,Specific Heat Capacity,Coefficient of Thermal Expansion,Electrical Resistivity
AISI 1006 Steel,cold drawn,0.55,-1.4,-1.35,-0.8,0.82,0.47,-0.16,0.75,0.48,0.25,-0.56
AISI 1006 Steel,hot rolled,0.55,-1.5,-1.46,-1.17,-0.54,0.47,0.71,0.75,0.48,0.25,-0.56
AISI 1020 Steel,cold rolled,0.49,-1.1,-1.06,-0.6,0.82,0.47,-0.59,0.75,0.86,-0.32,-0.63
AISI 1020 Steel,normalized,0.49,-0.99,-1,-0.62,-0.54,0.47,1.21,0.75,0.86,-0.32,-0.63
AISI 1020 Steel,annealed,0.49,-1.22,-1.14,-0.77,-0.54,0.47,1.27,0.75,0.86,-0.32,-0.63
AISI 1040 Steel,cold drawn,-0.27,-0.54,-0.54,-0.09,-0.54,0.47,-0.85,0.75,0.86,-0.57,-0.57
AISI 1040 Steel,annealed,-0.27,-0.78,-0.76,-0.6,-0.54,0.47,0.71,0.75,0.86,-0.57,-0.57
AISI 1040 Steel,hot rolled,-0.27,-0.78,-0.73,-0.79,-0.54,0.47,-0.33,0.75,0.86,-0.57,-0.57
AISI 1040 Steel,normalized,-0.27,-0.54,-0.51,-0.54,-0.54,0.47,0.28,0.75,0.86,-0.57,-0.57
AISI 1090 Steel,hot rolled,0.49,0.35,0.27,-0.26,-0.54,0.47,-1.02,0.75,-0.2,-0.45,-0.56
AISI 1095 Steel,annealed,-0.12,-0.29,-0.29,-0.51,0.82,0.47,-0.76,0.58,-1.04,-0.76,-0.53
AISI 1095 Steel,normalized,-0.12,0.86,0.82,-0.12,0.82,0.47,-1.02,0.58,-1.04,-0.76,-0.53
AISI 1340 Steel,normalized,0.49,0.35,0.25,0.04,-0.54,0.47,0.02,0.75,-0.2,-0.45,-0.56
AISI 1340 Steel,oil quenched,0.49,0.77,0.62,0.9,-0.54,0.47,-0.23,0.75,-0.2,-0.45,-0.56
AISI 1340 Steel,annealed,0.49,-0.12,-0.17,-0.34,-0.54,0.47,0.32,0.75,-0.2,-0.45,-0.56
AISI 4140 Steel,normalized,-0.12,0.96,0.83,0.35,0.82,0.47,-0.36,0.01,-0.13,0,-0.35
AISI 4140 Steel,oil quenched,-0.12,1.07,1.01,1.37,0.82,0.47,-0.55,0.01,-0.13,0,-0.35
AISI 4140 Steel,annealed,-0.12,-0.23,-0.32,-0.4,0.82,0.47,0.34,0.01,-0.13,0,-0.35
AISI 4340 Steel,normalized,-0.12,1.66,1.66,0.99,0.82,0.47,-0.83,0.16,0.02,0.06,-0.22
AISI 4340 Steel,annealed,-0.12,-0.01,-0.04,-0.23,0.82,0.47,0.02,0.16,0.02,0.06,-0.22
AISI 4340 Steel,oil quenched,-0.12,1.53,1.43,1.87,0.82,0.47,-0.66,0.16,0.02,0.06,-0.22
AISI 5140 Steel,annealed,-0.12,-0.58,-0.59,-0.77,0.82,0.47,0.59,0.17,-1.72,0.25,-0.31
AISI 5140 Steel,normalized,-0.12,0.13,0.12,-0.23,0.82,0.47,0.08,0.17,-1.72,0.25,-0.31
AISI 5140 Steel,oil quenched,-0.12,0.86,0.68,0.92,0.82,0.47,-0.29,0.17,-1.72,0.25,-0.31
AISI 8630 Steel,annealed,-0.12,-0.7,-0.61,-0.54,0.82,0.47,0.62,0.33,0.02,0,-0.29
AISI 8630 Steel,normalized,-0.12,-0.35,-0.34,-0.37,0.82,0.47,0.15,0.33,0.02,0,-0.29
AISI 8630 Steel,water quenched,-0.12,0.86,0.82,1.14,0.82,0.47,-0.49,0.33,0.02,0,-0.29
Stainless Steel 17-7 PH,cold rolled,-1.63,1.83,1.97,2.07,0.55,-1.3,-1.8,-2.06,-1.12,-0.76,2.43
Stainless Steel 17-7 PH,precipitation hardened,-1.63,2.46,2.83,3.25,0.55,-1.3,-1.8,-2.06,-1.12,-0.76,2.43
Stainless Steel 302,25% hardened,0.18,0.5,0.33,-0.09,-2.44,-3.06,-0.85,-2.08,1.92,3.16,1.93
Stainless Steel 302,annealed,0.18,-0.81,-0.43,-0.83,-2.44,-3.06,2.88,-2.08,1.92,3.16,1.93
Stainless Steel 316,annealed,4.42,-0.85,-0.56,-0.79,-2.44,-1.3,2.44,-2.07,1.92,2.4,2.02
Stainless Steel 405,annealed,-1.63,-0.77,-0.98,-0.83,-0.54,-1.3,0.71,-1.22,-1.12,-0.89,1.38
Stainless Steel 434,annealed,-1.63,-0.61,-0.76,-0.62,-0.54,-1.3,0.28,-1.29,-1.12,-1.14,1.38
,,,,,,,,,,,,
Mean,,7.85,217.59,756.26,543.56,201.97,0.28,21.82,42.46,0.47,12.21,2.97E-05
Stdev,,0.03,87.66,315.91,322.31,3.68,0.01,11.54,12.64,0.01,1.58,2.20E-05
